dataset,RMSE,MAE,R2,Test_Inference_Time_s
B0005_soc_data,0.18288005804487237,0.14625583077985166,0.6803795289794605,0.8069367000134662
B0006_soc_data,0.3166197354750438,0.270634448830317,0.07862653563164923,0.7962843000132125
B0007_soc_data,0.09479985532089989,0.07369584727943013,0.905912861207226,0.8041090999904554
B0018_soc_data,0.10180270943745903,0.07969285823179445,0.8969033084877167,0.437699000001885
