battery_id,cycle_number,capacity_Ah,soc_rmse,soc_mae,soc_r2,soc_max_abs_error,voltage_rmse_V,voltage_mae_V,voltage_r2,voltage_max_abs_error_V
B0007,1,1.89105229539079,0.036099575704178696,0.03252039652491203,0.9862328188978855,0.059531147114678794,0.20539734607309998,0.16231096400479184,0.4894016843044082,1.0100895465755384
B0007,2,1.880637027686859,0.03925769512305186,0.035277399387483005,0.9837288155522105,0.06475496719367632,0.1992940631500074,0.15847065236397712,0.4923365623111058,1.0450461461805491
B0007,3,1.8806626717011388,0.039197750984194174,0.03519751007095494,0.9836625522663823,0.06472624020033352,0.2031918436108637,0.15967944948525253,0.48712373618595084,1.1309603558367276
B0007,4,1.8807709009833444,0.039136609704913145,0.0351229667934325,0.9835941193636407,0.06467970281014356,0.20979226363242465,0.16192272585262382,0.47697515632508314,1.233525857581523
B0007,5,1.8794508728285055,0.03952320840112192,0.03545730154049588,0.9832640601512264,0.06532125160707036,0.21190625338301158,0.1622823535052701,0.4740940905290181,1.2849086023597656
B0007,6,1.8807003517117404,0.03950298727386982,0.035447161321308686,0.9834075356636042,0.0647123236218322,0.19016634059488713,0.15317441719457242,0.4917458187160788,0.9803851483490265
B0007,7,1.8799352523566075,0.039691719985362355,0.03560054034885659,0.9832479243275891,0.06504225679474705,0.19259276588046179,0.153884977670105,0.4956357177034866,1.044273315548125
B0007,8,1.88150881240388,0.03894593739936997,0.03486844878256853,0.9833484434040128,0.06425577456438167,0.19847748576419194,0.15710665838528895,0.4713521971395972,1.1298181790530561
B0007,9,1.8696907870385844,0.042265582492400616,0.037756223464752645,0.9803958167476349,0.07015848871240066,0.20295652883888785,0.15860692536580576,0.46366001583850536,1.20548459277445
B0007,10,1.870052380139199,0.04217343950322915,0.037680455878536696,0.9804821786678456,0.06999915785168666,0.20845680395412072,0.1602668053948765,0.46052956635181586,1.2872445823251457
B0007,11,1.8700442394188577,0.04213232520386943,0.037618715445305345,0.9803556721072304,0.07000086439930077,0.214863859475927,0.16221084452635523,0.4468503098131591,1.366445239909359
B0007,12,1.8596518987766364,0.04512209457333937,0.0401763177766537,0.9772691861879829,0.07519225710198321,0.20530877466588107,0.15889388731904916,0.4468213506612493,1.2457367832695792
B0007,13,1.8590746560862208,0.045228363236320054,0.040240121862404055,0.9769483799221692,0.07548408518739314,0.2041433162383387,0.15818179189466364,0.4355354824911686,1.2473857321056623
B0007,14,1.8590084577709232,0.04523357674039247,0.04024020602372622,0.9769441805462288,0.07549869788970576,0.21386466290677245,0.16124194694429234,0.4273691129404159,1.369190551164887
B0007,15,1.8593622586957048,0.04511421371964064,0.040108404972788655,0.9768367438801037,0.0753387652759588,0.192297333724181,0.1550392291439195,0.431319041917373,1.0199342731429688
B0007,16,1.8587355450601035,0.045177463892378915,0.04013905429574136,0.9765174217611218,0.07564914483249792,0.19869833469395493,0.15667980203979182,0.41511260966199304,1.1427268399724602
B0007,17,1.847817291322145,0.04834900870368797,0.04287355608927705,0.9731302170005467,0.08108476881060947,0.2066343898398406,0.1578740722316129,0.3996848111116026,1.2985150424775909
B0007,18,1.8485252916137047,0.04801246812772894,0.04255637579482684,0.9732157941290938,0.08073246021587456,0.190058190790036,0.15359532366832665,0.3949829433533456,0.9903183124351842
B0007,19,1.848378951850034,0.04804511973465959,0.042583635030629,0.9731744933807397,0.08079964653178592,0.1968666198411157,0.15549771794682024,0.3959185411602595,1.1290001441616226
B0007,20,1.8807805437609768,0.039042447087794904,0.03499012068518121,0.9834107086521099,0.06465017745006173,0.20732454232278932,0.1607256588167154,0.47831182933168603,1.2507566933819017
B0007,21,1.88147215974436,0.03877787953038192,0.034717982795066125,0.983348881621295,0.06431875716190452,0.21242114214462907,0.16133954804780296,0.4574829435868434,1.3608707745840567
B0007,22,1.8810954313244783,0.03895948201843625,0.03484379912646452,0.9830434235637496,0.0645070824265205,0.19315255248132235,0.15590301355874447,0.45814111295664794,1.0502141868051318
B0007,23,1.8710089649779995,0.04173766791093309,0.03722534737810188,0.9803546093157102,0.06952628789073155,0.20862952311052868,0.16024616443984052,0.42655631462766497,1.310043081408091
B0007,24,1.8701995151941373,0.042014593115896705,0.03748771748096025,0.980279683767694,0.06990608592310057,0.2173416125218098,0.16322806877106885,0.4311889949336747,1.419034796435668
B0007,25,1.8706715362800983,0.04163836192733622,0.037062062738873254,0.9798448227170155,0.06968719134838433,0.19592927937011528,0.15595029199192362,0.3882797430117553,1.105416119127741
B0007,26,1.8596124644020169,0.04492503035176479,0.03991930001414759,0.9767907381661944,0.07520965673226107,0.208836677666685,0.15933945083873835,0.3893377207069193,1.3306277237827637
B0007,27,1.860033909718346,0.044694035594973695,0.039695534357853196,0.9767819227344775,0.0749902899434491,0.19265503502221107,0.15533067927380098,0.38398872444584653,1.0211912609107894
B0007,28,1.8591653109160768,0.044936065868863624,0.03990332930197882,0.9765238600761054,0.07541293178051495,0.20111025116723902,0.15769243477897918,0.38469610903650264,1.185613614421912
B0007,29,1.8481398178778288,0.04822217494967783,0.04275882463936615,0.9732569694930027,0.08089722577038655,0.2101841219145577,0.1597640019941093,0.38875620182988047,1.3427921653705546
B0007,30,1.849201702126164,0.04779536662255209,0.04236234797534281,0.9734633323823021,0.08036772052066546,0.1971886472610853,0.15677166263907444,0.38286138353780397,1.1077010023747684
