battery_model,test_rmse,test_mae,test_r2,test_inference_time_sec
B0005_soc_data,0.02905192394087916,0.021868819370865822,0.9919314384460449,0.0008792999999993611
B0006_soc_data,0.05756906342338778,0.04407886415719986,0.9695170521736145,0.0008317999999967185
B0007_soc_data,0.02364755049764753,0.016171135008335114,0.9941431879997253,0.0007913000000030479
B0018_soc_data,0.0186075380186955,0.014522415585815907,0.9965527653694153,0.000560399999997685
AVERAGE,0.03221901897015249,0.024160308530554175,0.9880361109972,0.0007656999999992031
