battery_id,model,sample_mode,train_method,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2,val_total_inference_time_ms,val_avg_inference_time_ms_per_sample,test_total_inference_time_ms,test_avg_inference_time_ms_per_sample,epochs_ran,best_val_mse
B0005,RandomForest,current_timestep_only,sklearn_default,0.021352735342966684,0.03179668478578259,0.9900637075400823,0.0568757419832271,0.08730859728931173,0.927127809476765,77.9813999979524,0.0075395339841392624,61.60030000319239,0.00600100340995542,,
B0005,TorchMLP_Matched,current_timestep_only,full-batch_adam_external-val_early-stopping,0.011583647690713406,0.016749137204826823,0.9972429275512695,0.023183949291706085,0.0326639605276272,0.9898003339767456,1.1356999893905595,0.00010980373096689157,0.9795999940251932,9.54310758913973e-05,300.0,0.0003668220597319305
