battery_id,n_cycles,R0_ohm,R1_ohm,C1_F,tau_s,soc_rmse_mean,soc_mae_mean,soc_r2_mean,voltage_rmse_mean_V,voltage_mae_mean_V,voltage_r2_mean,capacity_start_Ah,capacity_end_Ah
B0005,169,0.0010000000000000002,0.007162759766539781,10037.636974252295,71.89718227030644,0.13790386385581224,0.1207544804828165,0.7698459126422234,0.3019487816079751,0.2818626168606798,-0.5780418891494602,1.8564874208181572,2.0
B0006,169,0.0010000000000000002,0.0035876622019858913,19999.93005957033,71.75299311708191,0.14978592131883517,0.1317504086830602,0.7148068993950419,0.3652486859792337,0.34160999440971446,-1.129270164067497,2.035337591005598,2.0
B0007,169,0.0010000000000000002,0.005307305020818049,13157.60041307584,69.83139873423504,0.10900113278082019,0.09526365422079792,0.8455343465386228,0.22217271149056544,0.17766807330870518,0.38376748298641566,1.89105229539079,2.0
B0018,132,0.0010000000000000002,0.004235823720945473,12354.08113368769,52.32970991655926,0.14069227502221127,0.12304828335634638,0.7749690746125715,0.23695122689177606,0.21111083126616748,0.09671613723014398,1.8550045207910817,1.341051440640485
